"build","build_date","build_timestamp","status","used_bytes","used_gib","total_bytes","capture_date","wxemem_version","source","postpnp_status","postpnp_used_bytes","postpnp_used_gib","postpnp_total_bytes","postpnp_capture_date","postpnp_wxemem_version","postpnp_source","signin_status","signin_used_bytes","signin_used_gib","signin_total_bytes","signin_capture_date","signin_wxemem_version","signin_source"
"29597.1000.260517-1700","2026-05-17","2026-05-17T17:00:00","included","1484103680","1.38217926025391","16770772992","","unversioned","C:\llama.cpp\wxe\daily\29597.1000.260517-1700\Kennan\WXE\nopnp\wxemem_json_kennan_WXE.txt","included","2208579584","2.05690002441406","16770772992","","unversioned","C:\llama.cpp\wxe\daily\29597.1000.260517-1700\Kennan\WXE\pnp\wxemem_json_kennan_WXE.txt","no sign-in stage",,,,"","",""
"29597.1001.260518-1700","2026-05-18","2026-05-18T17:00:00","included","1559478272","1.45237731933594","16770772992","2026-05-19","unversioned","C:\llama.cpp\wxe\daily\29597.1001.260518-1700\Kennan\WXE\beforepnp\wxemem_20260519_json_Kennan_beforepnp.txt","included","2876997632","2.67941284179688","16770772992","2026-05-17","unversioned","C:\llama.cpp\wxe\daily\29597.1001.260518-1700\Kennan\WXE\afterpnp\wxemem_20260517_json_Kennan_afterpnp.txt","no sign-in stage",,,,"","",""
"29597.1002.260519-1700","2026-05-19","2026-05-19T17:00:00","included","1794293760","1.67106628417969","16770772992","2026-05-20","unversioned","C:\llama.cpp\wxe\daily\29597.1002.260519-1700\Kennan\WXE\beforepnp\wxemem_20260520_json_kennan-prepnp.txt","included","2329800704","2.16979598999023","16770772992","2026-05-20","unversioned","C:\llama.cpp\wxe\daily\29597.1002.260519-1700\Kennan\WXE\afterpnp\wxemem_20260520_json_kennan-afterpnp.txt","no sign-in stage",,,,"","",""
"29597.1003.260520-1700","2026-05-20","2026-05-20T17:00:00","included","1673359360","1.55843734741211","16770772992","2026-05-21","unversioned","C:\llama.cpp\wxe\daily\29597.1003.260520-1700\Kennan\WXE\beforepnp\wxemem_20260521_json_kennan-prepnp.txt","included","2300133376","2.14216613769531","16770772992","2026-05-21","unversioned","C:\llama.cpp\wxe\daily\29597.1003.260520-1700\Kennan\WXE\afterpnp\wxemem_20260521_json_kennan-afterpnp.txt","no sign-in stage",,,,"","",""
"29598.1000.260521-1800","2026-05-21","2026-05-21T18:00:00","included","2046586880","1.90603256225586","16770772992","2026-05-22","unversioned","C:\llama.cpp\wxe\daily\29598.1000.260521-1800\Kennan\WXE\beforepnp\wxemem_20260522_json_kennan-prepnp.txt","included","2682064896","2.49786758422852","16770772992","2026-05-22","unversioned","C:\llama.cpp\wxe\daily\29598.1000.260521-1800\Kennan\WXE\afterpnp\wxemem_20260522_json_kennan-postpnp.txt","no sign-in stage",,,,"","",""
"29600.1004.260526-1700","2026-05-26","2026-05-26T17:00:00","included","2052845568","1.91186141967773","16770772992","2026-05-27","unversioned","C:\llama.cpp\wxe\daily\29600.1004.260526-1700\Kennan\WXE\prepnp\wxemem_20260527_json_kennan-prepnp.txt","included","2647048192","2.46525573730469","16770772992","2026-05-27","unversioned","C:\llama.cpp\wxe\daily\29600.1004.260526-1700\Kennan\WXE\postpnp\wxemem_20260527_json_kennan_postpnp.txt","no sign-in stage",,,,"","",""
"29600.1005.260527-1700","2026-05-27","2026-05-27T17:00:00","included","2074038272","1.93159866333008","16770772992","2026-05-28","unversioned","C:\llama.cpp\wxe\daily\29600.1005.260527-1700\Kennan\WXE\prepnp\wxemem_20260528_json_kennan_prepnp.txt","included","2706272256","2.52041244506836","16770772992","2026-05-28","unversioned","C:\llama.cpp\wxe\daily\29600.1005.260527-1700\Kennan\WXE\postpnp\wxemem_20260528_json_kennan_postpnp.txt","included","3678339072","3.42572021484375","16770772992","2026-05-28","unversioned","C:\llama.cpp\wxe\daily\29600.1005.260527-1700\Kennan\WXE\xboxappsignin\wxemem_20260528_json_kennan_xboxappsignin.txt"
"29600.1006.260528-1700","2026-05-28","2026-05-28T17:00:00","included","2121228288","1.97554779052734","16770772992","2026-05-29","unversioned","C:\llama.cpp\wxe\daily\29600.1006.260528-1700\Kennan\WXE\prepnp\wxemem_20260529_json_kennan_prepnp.txt","included","2740588544","2.55237197875977","16770772992","2026-05-29","unversioned","C:\llama.cpp\wxe\daily\29600.1006.260528-1700\Kennan\WXE\postpnp\wxemem_20260529_json_kennan_postpnp.txt","included","3601162240","3.35384368896484","16770772992","2026-05-29","unversioned","C:\llama.cpp\wxe\daily\29600.1006.260528-1700\Kennan\WXE\xboxappsignin\wxemem_20260529_json_kennan_xboxappsignin.txt"
"29604.1001.260531-1709","2026-05-31","2026-05-31T17:09:00","included","2020466688","1.88170623779297","16770772992","2026-06-01","unversioned","C:\llama.cpp\wxe\daily\29604.1001.260531-1709\Kennan\WXE\prepnp\wxemem_20260601_json_kennan_prepnp.txt","included","2715496448","2.52900314331055","16770772992","2026-06-01","unversioned","C:\llama.cpp\wxe\daily\29604.1001.260531-1709\Kennan\WXE\postpnp\wxemem_20260601_json_kennan_postpnp.txt","included","4037607424","3.76031494140625","16770772992","2026-06-01","unversioned","C:\llama.cpp\wxe\daily\29604.1001.260531-1709\Kennan\WXE\xboxappsignin\wxemem_20260601_json_kennan_xboxsignin.txt"
"29604.1003.260602-1700","2026-06-02","2026-06-02T17:00:00","included","2088792064","1.94533920288086","16770772992","2026-06-03","unversioned","C:\llama.cpp\wxe\daily\29604.1003.260602-1700\Kennan\WXE\prepnp\wxemem_20260603_json_kennan_prepnp.txt","included","2726764544","2.53949737548828","16770772992","2026-06-03","unversioned","C:\llama.cpp\wxe\daily\29604.1003.260602-1700\Kennan\WXE\postpnp\wxemem_20260603_json_kennan_postpnp.txt","included","3584495616","3.33832168579102","16770772992","2026-06-03","unversioned","C:\llama.cpp\wxe\daily\29604.1003.260602-1700\Kennan\WXE\xboxappsignin\wxemem_20260603_json_kennan_xboxappsignin.txt"
